x,y,direction,numberOfCoins,yToAssign,expectedResultY
1,386,DOWN,1105796753,-88,298
17,251,RIGHT,1203878944,-345,0
301,366,DOWN,241163730,2,368
488,480,UP,1477581228,452,499
319,223,LEFT,159900235,-365,0
340,469,LEFT,1325548249,128,499
234,417,LEFT,1295587882,-167,250
176,45,RIGHT,1163077644,-171,0
129,213,RIGHT,1469110404,-65,148
196,213,RIGHT,936653864,-393,0
166,446,LEFT,189116394,142,499
287,49,RIGHT,912410303,15,64
220,103,DOWN,382223409,80,183
77,450,LEFT,1867852040,163,499
193,470,LEFT,1014383670,61,499
255,283,RIGHT,1089642557,313,499
117,283,UP,1752169779,-335,0
180,318,LEFT,1000519631,-252,66
358,288,DOWN,1411993536,452,499
338,112,LEFT,1993341281,-433,0
360,349,RIGHT,807484813,35,384
158,459,UP,166446178,-156,303
418,279,LEFT,2083926481,242,499
478,399,LEFT,1639785766,-349,50
33,246,DOWN,779657129,-240,6
395,404,RIGHT,2061180389,-71,333
141,498,DOWN,532562178,480,499
58,466,UP,2012773728,187,499
465,349,DOWN,464457820,147,496
59,347,RIGHT,354597530,-445,0
90,498,RIGHT,1757225766,156,499
164,248,DOWN,1176024567,-296,0
204,94,UP,1312365424,390,484
180,30,RIGHT,610997730,-72,0
258,13,UP,1659473441,-320,0
483,36,LEFT,797868372,-48,0
425,52,LEFT,1423233502,-198,0
271,77,LEFT,421266328,-410,0
433,149,LEFT,1246100158,-97,52
361,22,LEFT,267800542,75,97
469,256,DOWN,543385070,353,499
93,286,RIGHT,1703174934,-316,0
438,470,RIGHT,1207509348,133,499
236,486,LEFT,1965951649,170,499
413,455,RIGHT,142284156,-157,298
423,212,LEFT,1555884452,79,291
118,88,UP,2141973746,339,427
292,414,LEFT,1504544766,150,499
384,23,UP,1857349983,139,162
367,330,DOWN,147134132,-234,96
238,124,RIGHT,876886241,311,435
6,105,DOWN,92586093,337,442
398,345,DOWN,913721446,54,399
253,383,UP,483617163,436,499
83,233,RIGHT,229778151,-436,0
62,295,UP,1020476523,144,439
474,192,UP,1286310682,-175,17
307,142,DOWN,1062390320,214,356
474,124,UP,1416676671,288,412
122,129,DOWN,1010858638,256,385
34,380,UP,2069630239,264,499
355,465,LEFT,1880150328,366,499
119,50,LEFT,836733709,398,448
475,143,UP,317067273,134,277
78,42,LEFT,1198027079,-170,0
17,465,RIGHT,1973647961,-223,242
286,160,DOWN,1198877402,-141,19
65,488,LEFT,1412576550,114,499
468,42,DOWN,37246504,361,403
325,308,DOWN,472943419,-172,136
347,261,DOWN,2059448722,421,499
85,406,DOWN,1899755360,-460,0
348,353,DOWN,1563492297,-94,259
337,400,RIGHT,998898273,-377,23
435,302,LEFT,803211208,-429,0
320,82,DOWN,1550569754,372,454
377,281,DOWN,1656352513,-178,103
341,426,LEFT,1904426824,-498,0
375,202,LEFT,286418580,29,231
130,73,DOWN,1574463180,264,337
109,410,DOWN,1522440066,447,499
290,294,RIGHT,124765814,-468,0
480,235,UP,1899377647,-172,63
287,294,LEFT,1587956945,-222,72
237,121,LEFT,1625631171,-175,0
391,262,DOWN,4039528,337,499
451,225,LEFT,2121767368,23,248
281,51,DOWN,467061187,14,65
375,136,DOWN,804863186,-180,0
496,448,DOWN,1659089280,102,499
36,344,RIGHT,600891775,217,499
65,337,RIGHT,794704969,-87,250
370,492,LEFT,695822545,-348,144
377,422,LEFT,321788366,-308,114
394,1,UP,2144977508,-162,0
309,257,RIGHT,1115089729,-146,111
482,223,DOWN,2085048240,-259,0
416,98,LEFT,734947324,85,183
42,270,UP,1232735189,90,360
